                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.6756,                 0.4071,                 1.0458,                0.88502,                0.81525,                0.83617,                0.63026,                0.91512,                 1.1577,                 1.2559,             0.00062705,             0.00062705,             0.00062705
                     47,                0.63881,                0.38465,                 1.0129,                 0.8788,                0.77794,                 0.8109,                0.59728,                0.92365,                 1.4277,                 1.2631,             0.00061605,             0.00061605,             0.00061605
                     48,                0.65578,                0.40263,                 1.0217,                0.89418,                0.74466,                 0.8463,                0.61676,                0.94431,                 1.2832,                  1.293,             0.00060505,             0.00060505,             0.00060505
                     49,                0.64954,                0.39811,                  1.036,                 0.8812,                0.75315,                0.81926,                0.60539,                0.92179,                 1.3556,                 1.2433,             0.00059405,             0.00059405,             0.00059405
                     50,                0.65695,                0.37895,                  1.026,                0.90251,                0.73506,                0.80025,                0.60229,                 1.0059,                 1.5612,                  1.308,             0.00058305,             0.00058305,             0.00058305
                     51,                0.66887,                0.38956,                  1.024,                0.90539,                0.73266,                0.80891,                0.61195,                0.89879,                 1.4211,                 1.2215,             0.00057205,             0.00057205,             0.00057205
                     52,                0.62823,                0.38182,                 1.0091,                0.88233,                0.79659,                0.85986,                0.66691,                0.86778,                 1.1562,                 1.1901,             0.00056105,             0.00056105,             0.00056105
                     53,                0.64943,                0.39354,                 1.0302,                0.88574,                0.81456,                0.85421,                0.65621,                0.87868,                 1.0838,                 1.2111,             0.00055006,             0.00055006,             0.00055006
                     54,                0.63215,                0.38184,                 1.0205,                0.87289,                0.79507,                0.83707,                0.62209,                0.97893,                 1.2508,                 1.2887,             0.00053906,             0.00053906,             0.00053906
                     55,                 0.6449,                0.37636,                 1.0197,                0.87497,                 0.7448,                0.79559,                0.59037,                0.99576,                 1.4455,                 1.3348,             0.00052806,             0.00052806,             0.00052806
                     56,                0.63055,                0.38252,                0.99679,                0.89798,                0.79548,                0.84919,                0.65427,                0.91231,                 1.0888,                   1.22,             0.00051706,             0.00051706,             0.00051706
                     57,                0.64379,                0.38689,                  1.011,                0.89146,                0.84017,                0.87499,                0.65933,                0.87919,                 1.0186,                 1.1883,             0.00050606,             0.00050606,             0.00050606
                     58,                0.61642,                0.37761,                0.99079,                 0.8952,                0.77939,                0.87344,                0.68542,                 0.8684,                 1.0975,                 1.2091,             0.00049506,             0.00049506,             0.00049506
                     59,                0.61471,                0.34991,                0.99541,                0.90042,                0.74505,                0.82665,                0.63829,                0.87008,                 1.3986,                 1.2207,             0.00048406,             0.00048406,             0.00048406
                     60,                0.62872,                0.37815,                 1.0103,                0.89567,                0.74677,                0.82629,                 0.6258,                 0.8705,                 1.3476,                 1.2105,             0.00047306,             0.00047306,             0.00047306
